TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Harbor Lighthouse Ink Sketch | Black and White Coastal Wall Art | Nautical Printable Drawing","Hand-drawn ink sketch of a classic harbor lighthouse...",2.99,USD,10,"lighthouse_sketch,coastal_wall_art,nautical_print,ink_drawing,black_white_art,harbor_art,printable_art,sea_landscape,hand_drawn,marine_decor,ocean_wall_art,beach_house_art,lighthouse_print",,https://example.com/img/lighthouse.jpg,,,,,,,,,,,,,,,,
"Sailboat at Sunset Ink Drawing | Minimalist Ocean Wall Art | Maritime Printable","A serene sailboat sketch with minimalist line work...",2.99,USD,10,"sailboat_art,ocean_wall_art,maritime_print,ink_drawing,black_white_art,nautical_decor,printable_art,sea_sketch,hand_drawn,boat_drawing,coastal_print,minimalist_art,sailing_art",,https://example.com/img/sailboat.jpg,,,,,,,,,,,,,,,,
"Anchor and Rope Sketch | Vintage Nautical Wall Art | Digital Download","Detailed ink sketch of an anchor with rope...",2.99,USD,10,"anchor_sketch,nautical_wall_art,vintage_marine,ink_drawing,black_white_art,rope_art,printable_art,sailor_decor,hand_drawn,maritime_print,sea_theme_art,naval_art,anchor_print",,https://example.com/img/anchor.jpg,,,,,,,,,,,,,,,,
"Paris Eiffel Tower Ink Sketch | Architecture Wall Art | Travel Printable Drawing","Hand-drawn sketch of the Eiffel Tower at dusk...",2.99,USD,10,"eiffel_tower_art,paris_wall_art,architecture_print,travel_sketch,black_white_art,french_decor,printable_art,landmark_drawing,hand_drawn,european_art,city_sketch,minimalist_art,tower_print",,https://example.com/img/eiffel.jpg,,,,,,,,,,,,,,,,
"Roman Colosseum Sketch | Ancient Architecture Wall Art | Italy Printable Drawing","Ink sketch of the Colosseum in Rome...",2.99,USD,10,"colosseum_art,rome_wall_art,architecture_print,travel_sketch,black_white_art,italian_decor,printable_art,landmark_drawing,hand_drawn,european_art,ancient_art,minimalist_art,ruins_print",,https://example.com/img/colosseum.jpg,,,,,,,,,,,,,,,,
"London Big Ben Ink Drawing | British Architecture Wall Art | UK Printable","Hand-drawn ink sketch of Big Ben and Parliament...",2.99,USD,10,"big_ben_art,london_wall_art,architecture_print,travel_sketch,black_white_art,british_decor,printable_art,landmark_drawing,hand_drawn,european_art,city_sketch,minimalist_art,clock_tower_print",,https://example.com/img/bigben.jpg,,,,,,,,,,,,,,,,
"Sunflower Botanical Ink Sketch | Floral Wall Art | Printable Flower Drawing","Detailed ink sketch of a blooming sunflower...",2.99,USD,10,"sunflower_art,botanical_print,floral_wall_art,ink_drawing,black_white_art,flower_sketch,printable_art,garden_decor,hand_drawn,nature_art,botanical_decor,minimalist_art,sunflower_print",,https://example.com/img/sunflower.jpg,,,,,,,,,,,,,,,,
"Wild Rose Pen Drawing | Minimalist Botanical Wall Art | Digital Download","Delicate pen drawing of wild roses...",2.99,USD,10,"rose_art,botanical_print,floral_wall_art,ink_drawing,black_white_art,flower_sketch,printable_art,garden_decor,hand_drawn,nature_art,botanical_decor,minimalist_art,rose_print",,https://example.com/img/wildrose.jpg,,,,,,,,,,,,,,,,
"Lavender Sprig Ink Sketch | Botanical Line Art | Herb Printable Drawing","Simple ink sketch of lavender sprigs...",2.99,USD,10,"lavender_art,botanical_print,floral_wall_art,ink_drawing,black_white_art,herb_sketch,printable_art,garden_decor,hand_drawn,nature_art,botanical_decor,minimalist_art,lavender_print",,https://example.com/img/lavender.jpg,,,,,,,,,,,,,,,,
"Fern Leaf Botanical Sketch | Nature Line Art | Forest Printable Drawing","Detailed fern leaf with intricate frond patterns...",2.99,USD,10,"fern_art,botanical_print,forest_wall_art,ink_drawing,black_white_art,leaf_sketch,printable_art,nature_decor,hand_drawn,nature_art,botanical_decor,woodland_art,fern_print",,https://example.com/img/fern.jpg,,,,,,,,,,,,,,,,
"Tabby Cat Portrait Ink Sketch | Pet Wall Art | Animal Printable Drawing","Hand-drawn ink portrait of a tabby cat...",2.99,USD,10,"cat_portrait,pet_wall_art,animal_sketch,ink_drawing,black_white_art,cat_art,printable_art,pet_lover_gift,hand_drawn,animal_art,tabby_cat,minimalist_art,cat_print",,https://example.com/img/tabbycat.jpg,,,,,,,,,,,,,,,,
"Golden Retriever Sketch | Dog Portrait Wall Art | Pet Printable Drawing","Charming ink sketch of a golden retriever...",2.99,USD,10,"dog_portrait,pet_wall_art,animal_sketch,ink_drawing,black_white_art,dog_art,printable_art,pet_lover_gift,hand_drawn,animal_art,retriever_art,minimalist_art,dog_print",,https://example.com/img/retriever.jpg,,,,,,,,,,,,,,,,
"Barn Owl Ink Drawing | Wildlife Wall Art | Bird Printable Sketch","Detailed ink drawing of a barn owl in flight...",2.99,USD,10,"owl_portrait,wildlife_wall_art,animal_sketch,ink_drawing,black_white_art,bird_art,printable_art,nature_gift,hand_drawn,animal_art,owl_art,minimalist_art,bird_print",,https://example.com/img/barnowl.jpg,,,,,,,,,,,,,,,,
"European Landmark Bundle | 3-Pack Architecture Ink Sketches | Travel Wall Art Set","Set of 3 European landmark sketches...",5.99,USD,10,"architecture_bundle,travel_art_set,european_landmarks,ink_sketch_bundle,gallery_wall_set,black_white_bundle,printable_art_set,landmark_collection,hand_drawn_set,minimalist_bundle,city_sketch_set,architecture_print,wall_art_bundle",,https://example.com/img/bundle_europe.jpg,,,,,,,,,,,,,,,,
